MRC,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Lac-Saint-Jean-Est,23235,23531,23723,23882,24029,24164,24276,24419,24647,24835,24990
Le Domaine-du-Roy,13119,13267,13376,13471,13537,13608,13648,13703,13812,13922,13978
Le Fjord-du-Saguenay,9202,9328,9487,9627,9755,9872,10011,10060,10196,10438,10572
Maria-Chapdelaine,10681,10730,10877,10922,10999,11025,11037,11061,11096,11163,11256
Saguenay-Lac-Saint-Jean,124481,125819,127070,127967,128769,129412,130004,130611,131655,132582,133389
